排名	词语	频次	PMI	左熵	右熵	得分	分类原因
91	异常	33	7.2387	4.2565	4.4761	15.9713	含结构虚字
92	布地奈德	5	12.1177	1.9219	1.9219	15.9616	含结构虚字
93	厄多司坦	3	12.7807	1.585	1.585	15.9506	含结构虚字
94	福莫特罗	9	10.6932	2.9477	2.281	15.922	含结构虚字
95	规范	12	9.6332	3.1887	3.085	15.9069	含结构虚字
96	早期	41	7.6377	4.2352	4.0251	15.898	含结构虚字
97	依据	16	8.2601	3.75	3.875	15.8851	含结构虚字
98	crossover	5	13.8802	1.0	1.0	15.8802	过长英文
99	lungfunction	12	9.6063	3.2516	3.0221	15.88	过长英文
100	介绍	4	12.3433	2.0	1.5	15.8433	2字常见通用词
101	positivepressure	3	13.3068	1.585	0.9183	15.81	过长英文
102	稳定期	48	7.6756	4.6211	3.5042	15.8009	含结构虚字
103	lowdose	3	12.6287	1.585	1.585	15.7986	过长英文
104	内容	26	8.3752	2.9587	4.4406	15.7746	2字常见通用词
105	依赖	7	10.7177	2.5216	2.5216	15.761	含结构虚字
106	意义	17	8.8644	2.8895	3.9698	15.7238	2字常见通用词
107	严重程度	49	8.0015	3.6177	4.1042	15.7234	含结构虚字
108	populationbased	4	12.8738	0.8113	2.0	15.6851	过长英文
109	显示	28	8.8332	2.6782	4.1645	15.6759	含结构虚字
110	世界卫生组织	4	12.6652	1.5	1.5	15.6652	含结构虚字
111	肺功能	148	5.4938	5.5504	4.6196	15.6638	含结构虚字
112	检测	21	7.3899	4.0707	4.2018	15.6624	含结构虚字
113	合并症	62	6.9825	4.1621	4.5175	15.6621	含结构虚字
114	维持	31	8.8381	4.1069	2.6961	15.6411	2字常见通用词
115	燃料	9	11.8213	1.8366	1.9749	15.6329	含结构虚字
116	远程	18	8.637	3.7947	3.1972	15.6288	含结构虚字
117	metaanalysis	10	11.7807	2.161	1.6855	15.6271	过长英文
118	装置	36	10.7331	1.3198	3.5358	15.5886	含结构虚字
119	noninvasive	7	13.588	1.0	1.0	15.588	过长英文
120	formoterolfumarate	4	12.5843	1.5	1.5	15.5843	过长英文
121	基础	31	9.0466	3.4686	3.0412	15.5564	2字常见通用词
122	减轻	20	8.1572	4.0219	3.371	15.5501	含结构虚字
123	干预措施	9	9.7218	2.6416	3.1699	15.5333	含结构虚字
124	首选	15	8.9106	2.9559	3.6402	15.5067	含结构虚字
125	糖皮质激素	30	8.7715	2.5431	4.1899	15.5045	含结构虚字
126	尤其是	18	7.8561	4.0588	3.5724	15.4873	含结构虚字
127	不良反应	26	7.653	3.6235	4.2099	15.4864	含结构虚字
128	变化	33	7.1611	3.8318	4.4879	15.4808	2字常见通用词
129	systemicinflammation	3	12.3068	1.585	1.585	15.4767	过长英文
130	inhaledcorticosteroids	4	11.9733	2.0	1.5	15.4733	过长英文
131	工作	20	8.4402	3.7219	3.3087	15.4709	含结构虚字
132	社区	11	9.7087	3.2776	2.4817	15.4681	含结构虚字
133	进展	47	7.5931	2.8261	5.0279	15.4471	含结构虚字
134	基层医疗机构	14	9.1368	3.182	3.1281	15.4469	含结构虚字
135	修订版	29	9.6359	3.5723	2.2008	15.409	含结构虚字
136	胸部	16	8.1249	3.7028	3.5778	15.4055	含结构虚字
137	困难	105	9.494	0.6172	5.2796	15.3907	2字常见通用词
138	开展	14	8.6175	3.5216	3.2359	15.375	2字常见通用词
139	受体激动剂	27	8.5328	2.7279	4.1064	15.367	含结构虚字
140	组织	13	9.7958	2.3158	3.2389	15.3505	含结构虚字
141	例如	14	8.1534	3.6645	3.5216	15.3396	含结构虚字
142	采取	8	9.581	2.75	3.0	15.331	含结构虚字
143	JEurRespirJ	29	7.0303	4.3197	3.9783	15.3283	过长英文
144	noninvasivepositive	3	12.8213	1.585	0.9183	15.3246	过长英文
145	资料	5	11.0803	1.9219	2.3219	15.3241	含结构虚字
